RETRO_RISK_SERIES,STATEMENT_SEGMENT,NPV_STATEMENT_NUMBER_SEGMENT,COHORT,RETRO_RISK_GROUP,COMBINED_UTIL_GROUP,IS_IN_IN,IS_SWAP_IN,IS_4K_PLUS,REAL_OUTCOME,CREDIT_LIMIT_BUCKET,CLIP_AMOUNT_GROUP_ASSUMPTIONS,STATEMENT_SEGMENT_NEW,ELIGIBILITY_CATEGORY,REWARDS_TYPE,APR_TYPE,STATEMENTS_SINCE_CLIP,ORIGINAL_STATEMENTS,OPEN_STATEMENTS,CHARGED_OFF_STATEMENTS,CHARGEOFFS_PBAD,PURCHASE_BALANCE_OPEN_ACCOUNTS,TOTAL_BALANCE_OPEN_ACCOUNTS,CREDIT_LIMIT_OPEN_ACCOUNTS,BKT2_ACCOUNTS,VOLUNTARY_CLOSURES,PRINCIPAL_BALANCE_CHARGEDOFF_ACCOUNTS,CREDIT_LIMIT_CHARGEDOFF_ACCOUNTS,CASH_ADVANCE_TAKERS,CASH_ADVANCE_AMOUNT,LATE_FEES,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS,AVERAGE_PURCHASE_BALANCE_OPEN_ACCOUNTS,DQ30_RATE,OPEN_STATEMENTS_ASSUMPTIONS,CREDIT_LIMIT_OPEN_ACCOUNTS_ASSUMPTIONS,ORIGINAL_STATEMENTS_ASSUMPTIONS,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS_ASSUMPTIONS,PBAD,SEVERITY,UTILIZATION,CREDIT_LINE,CASH_ADVANCE_AGGREGATE,PENALTY_AGGREGATE,PVOL_AGGREGATE,ATTRITION_AGGREGATE,OUTSTANDING_AGGREGATE,REVOLVE_AGGREGATE,PBAD_PER_OPEN,UTILIZATION_PER_OPEN,FINAL_PURCHASE_VOLUME_PERCENTAGE,UTIL_OPEN_ASMPT,SEVERITY_ASMPT,CLOSE_OPEN_ASMPT,CREDIT_LINE_PER_OPEN,CASH_INCIDENCE_ASMPT,PENALTY_FEE_RATE_ASMPT,OUTSTANDINGS_PER_ORIGINAL_ASMPT,REVOLVE_RATE_ASMPT
F,7,Y1-S7,2022 Q2,1,1,False,False,False,OTHER,1,0,Y1,Eligible,Non-Rewards,High,1,127,127.0,0.0,0.0,28141.33,19858.64,238050.00,0.0,0,0.00,0.00,0.0,0.00,0.0,15662.25717165,1873.62,0.000000,127,238050.00,127,15662.25717165,0.000000,0E-8,0.08342214,1874.40944882,0.00,0.0,28141.33,0,15662.25717165,1.79676082,6.034153308000000e-05,0.05731422,0.20248489966745004,0.05731422,0.292112138297198,0.0007800000000000001,851,0.00329744,0.004,48.73341406490373,0.183202058869739
F,7,Y1-S7,2024 Q1,1,1,False,False,False,OTHER,3,0,Y1,Eligible,Rewards,High,1,338,337.0,0.0,0.0,74265.80,63845.20,1005500.00,0.0,1,0.00,0.00,1.0,65.75,0.0,66820.87553134,27671.18,0.000000,337,1005500.00,338,66820.87553134,0.000000,0E-8,0.06349597,2983.67952522,65.75,0.0,74265.80,1,66820.87553134,1.11141615,6.034153308000000e-05,0.05383753,0.20248489966735794,0.05383753,0.292112138297198,0.0007800000000000001,2411,0.00329744,0.004,129.69320657896867,0.183202058869739
F,7,Y1-S7,2019 H1,1,1,False,False,False,OTHER,1,1000,Y1,Eligible,Non-Rewards,High,1,1,1.0,0.0,0.0,0.00,-0.08,1000.00,0.0,0,0.00,0.00,0.0,0.00,0.0,45.25000000,0.00,0.000000,1,1000.00,1,45.25000000,0.000000,0E-8,-0.00008000,1000.00000000,0.00,0.0,0.00,0,45.25000000,0E-8,6.185007140000001e-05,0.05731422,0.24423148080713128,0.05731422,0.292112138297198,0.0007800000000000001,1851,0.00329744,0.004,105.9993105066512,0.183202058869739
F,7,Y1-S7,2024 Q1,1,1,True,False,False,APPROVED,1,1500,Y1,Not Eligible,Non-Rewards,High,1,1,1.0,0.0,0.0,801.19,701.19,2250.00,0.0,0,0.00,0.00,0.0,0.00,0.0,420.86516129,0.00,0.000000,1,2250.00,1,420.86516129,0.000000,0E-8,0.31164000,2250.00000000,0.00,0.0,801.19,0,420.86516129,1.90367385,6.335860973000000e-05,0.05731422,0.2517870615278605,0.05731422,0.292112138297198,0.0007800000000000001,2351,0.00329744,0.004,134.63209224745125,0.183202058869739
F,7,Y1-S7,2022 Q3,1,1,False,False,False,APPROVED,1,100,Y1,Not Eligible,Rewards,High,1,1263,1258.0,0.0,0.0,25930.06,20291.83,1227450.00,0.0,5,0.00,0.00,1.0,63.50,0.0,12518.45026855,0.00,0.000000,1258,1227450.00,1263,12518.45026855,0.000000,0E-8,0.01653170,975.71542130,63.50,0.0,25930.06,5,12518.45026855,2.07134745,6.034153308000000e-05,0.05731422,0.21061033833017875,0.05731422,0.292112138297198,0.0007800000000000001,951,0.00329744,0.004,54.46001971295352,0.183202058869739
F,7,Y1-S7,2025 Q1,1,1,False,False,False,APPROVED,3,1000,Y1,Not Eligible,Non-Rewards,High,1,19,19.0,0.0,0.0,966.83,564.13,76000.00,0.0,0,0.00,0.00,0.0,0.00,0.0,76.91289171,0.00,0.000000,19,76000.00,19,76.91289171,0.000000,0E-8,0.00742276,4000.00000000,0.00,0.0,966.83,0,76.91289171,12.57045443,6.185007140000001e-05,0.05352185993,0.22513893710202287,0.05383753,0.292112138297198,0.0007800000000000001,3411,0.00329744,0.004,182.40937349258036,0.183202058869739
F,11,Y1-S11,2023 Q1,1,1,False,False,False,OTHER,2,0,Y1,Eligible,Non-Rewards,High,1,402,402.0,0.0,0.0,40407.00,20951.20,585200.00,0.0,0,0.00,0.00,1.0,967.00,0.0,16535.41881273,745.37,0.000000,402,585200.00,402,16535.41881273,0.000000,0E-8,0.03580178,1455.72139303,967.00,0.0,40407.00,0,16535.41881273,2.44366354,7.726257308000001e-05,0.0999441,0.18092348770066666,0.0999441,0.292112138297198,0.0007800000000000001,1500,0.00329744,0.004,149.78763249550474,0.183202058869739
F,11,Y1-S11,2022 Q3,1,1,True,False,True,APPROVED,3,2000,Y1,Eligible,Rewards,High,1,3,3.0,0.0,0.0,1132.73,393.76,13500.00,0.0,0,0.00,0.00,0.0,0.00,0.0,331.18548386,0.00,0.000000,3,13500.00,3,331.18548386,0.000000,0E-8,0.02916741,4500.00000000,0.00,0.0,1132.73,0,331.18548386,3.42022841,8.305726606000000e-05,0.0963624453,0.2237097092196781,0.09952113,0.292112138297198,0.0007800000000000001,4411,0.00329744,0.004,424.68789963110305,0.183202058869739
F,7,Y1-S7,2021 H2,1,1,True,False,False,APPROVED,1,1000,Y1,Eligible,Non-Rewards,High,1,44,44.0,0.0,0.0,10652.90,8772.10,82550.00,0.0,0,0.00,0.00,0.0,0.00,0.0,6482.00186818,505.85,0.000000,44,82550.00,44,6482.00186818,0.000000,0E-8,0.10626408,1876.13636364,0.00,0.0,10652.90,0,6482.00186818,1.64345834,6.185007140000001e-05,0.05731422,0.24423148080713128,0.05731422,0.292112138297198,0.0007800000000000001,1851,0.00329744,0.004,105.9993105066512,0.183202058869739
F,11,Y1-S11,2023 Q3,1,1,False,False,False,OTHER,2,0,Y1,Eligible,Non-Rewards,High,1,185,184.0,0.0,0.0,19358.25,10607.87,264600.00,0.0,1,0.00,0.00,0.0,0.00,0.0,10577.54334366,1770.28,0.000000,184,264600.00,185,10577.54334366,0.000000,0E-8,0.04009021,1438.04347826,0.00,0.0,19358.25,1,10577.54334366,1.83012722,7.726257308000001e-05,0.0999441,0.18092348770066666,0.0999441,0.292112138297198,0.0007800000000000001,1500,0.00329744,0.004,149.78763249550474,0.183202058869739
