RETRO_RISK_SERIES,STATEMENT_SEGMENT,NPV_STATEMENT_NUMBER_SEGMENT,COHORT,RETRO_RISK_GROUP,COMBINED_UTIL_GROUP,IS_IN_IN,IS_SWAP_IN,IS_4K_PLUS,REAL_OUTCOME,CREDIT_LIMIT_BUCKET,CLIP_AMOUNT_GROUP_ASSUMPTIONS,STATEMENT_SEGMENT_NEW,ELIGIBILITY_CATEGORY,REWARDS_TYPE,APR_TYPE,STATEMENTS_SINCE_CLIP,ORIGINAL_STATEMENTS,OPEN_STATEMENTS,CHARGED_OFF_STATEMENTS,CHARGEOFFS_PBAD,PRINCIPAL_BALANCE_OPEN_ACCOUNTS,PURCHASE_BALANCE_OPEN_ACCOUNTS,TOTAL_BALANCE_OPEN_ACCOUNTS,CREDIT_LIMIT_OPEN_ACCOUNTS,BKT2_ACCOUNTS,VOLUNTARY_CLOSURES,PRINCIPAL_BALANCE_CHARGEDOFF_ACCOUNTS,CREDIT_LIMIT_CHARGEDOFF_ACCOUNTS,CASH_ADVANCE_TAKERS,CASH_ADVANCE_AMOUNT,LATE_FEES,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS,AVERAGE_PURCHASE_BALANCE_OPEN_ACCOUNTS,OPEN_STATEMENTS_ASSUMPTIONS,CREDIT_LIMIT_OPEN_ACCOUNTS_ASSUMPTIONS,ORIGINAL_STATEMENTS_ASSUMPTIONS,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS_ASSUMPTIONS,PBAD,SEVERITY,UTILIZATION,CREDIT_LINE,CASH_ADVANCE_AGGREGATE,PENALTY_AGGREGATE,PVOL_AGGREGATE,ATTRITION_AGGREGATE,OUTSTANDING_AGGREGATE,REVOLVE_AGGREGATE,PBAD_PER_OPEN,UTILIZATION_PER_OPEN,FINAL_PURCHASE_VOLUME_PERCENTAGE,UTIL_OPEN_ASMPT,SEVERITY_ASMPT,CLOSE_OPEN_ASMPT,CREDIT_LINE_PER_OPEN,CASH_INCIDENCE_ASMPT,PENALTY_FEE_RATE_ASMPT,OUTSTANDINGS_PER_ORIGINAL_ASMPT,REVOLVE_RATE_ASMPT,ACTUAL_PBAD_PER_OPEN,ACTUAL_SEVERITY,ACTUAL_UTIL,ACTUAL_DQ30,ACTUAL_CREDIT_LINE,ACTUAL_CASH_ADVANCE,ACTUAL_PENALTY,ACTUAL_PVOL,ACTUAL_ATTRITION,ACTUAL_OUTSTANDING
F,11,Y1-S11,2023 Q1,11.0,5.0,False,False,False,OTHER,1,0,Y1,Eligible,Rewards,Low,78,53,,,,,,,,,0,,,,,,,,205,227550.0,53,147906.41467736,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,11,Y1-S11,2023 Q4,6.0,6.0,True,False,False,APPROVED,3,500,Y1,Eligible,Non-Rewards,High,13,1,1.0,0.0,0.0,2071.59,123.31,2130.49,3000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2160.81387097,2142.53,1,3000.0,1,2160.81387097,0.0,0.0,0.71016333,3000.0,0.0,0.0,123.31,0,2160.81387097,0.05706646,0.007804911039,0.7274508449,0.06779570772463285,0.72988705,0.8402351813475961,0.0009600000000000001,2996,0.00515269,0.034300000000000004,2077.4279017921217,0.9373733517025301,0.0,,0.6905300000000001,0.0,3000.0,0.0,0.0,0.057878703960121854,0.0,2160.81387097
F,18,Y2,2023 Q2,11.0,4.0,False,False,False,OTHER,3,0,Y2,Eligible,Non-Rewards,High,10,17,17.0,0.0,0.0,22879.97,4343.52,24285.06,40300.0,0.0,0,0.0,0.0,1.0,502.0,2.0,24319.14563959,20783.53,17,40300.0,17,24319.14563959,0.0,0.0,0.60260695,2370.58823529,502.0,2.0,4343.52,0,24319.14563959,0.17860496,0.006560081257,0.4441934,0.072426046432708,0.44419339999999996,0.8943000000000001,0.00197,2452,0.007200000000000001,0.06770000000000001,1048.6705911222698,0.89211792,0.0,,0.5677411910669975,0.0,2370.5882352941176,0.058823529411764705,0.11764705882352941,0.17885564211082863,0.0,24319.14563959
F,7,Y1-S7,2022 Q4,2.0,3.0,True,False,False,APPROVED,2,1000,Y1,Eligible,Non-Rewards,Low,25,4,,,,,,,,,0,,,,,,,,90,482800.0,4,221334.02425805,0.0,0.0,0.0,0.0,,,,0,,0.0,0.006171247642,0.49217817,0.08270255606856455,0.49217817,0.80458300825367,0.0011400000000000002,2494,0.00490132,0.020800000000000003,1120.2928912624448,0.9240317199769471,,,,,,,,,,
F,11,Y1-S11,2023 Q2,1.0,2.0,True,False,True,APPROVED,4,1500,Y1,Eligible,Non-Rewards,Low,85,63,,,,,,,,,0,,,,,,,,24,167500.0,63,51941.81465592,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,18,Y2,2023 Q3,6.0,8.0,False,False,False,APPROVED,1,1500,Y2,Eligible,Non-Rewards,Low,79,1,,,,,,,,,0,,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,18,Y2,2025 Q2,11.0,5.0,False,False,True,OTHER,5,0,Y2,Eligible,Rewards,Low,83,1,,,,,,,,,0,,,,,,,,1,5000.0,1,14.404,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,11,Y1-S11,2023 Q2,1.0,5.0,False,False,False,OTHER,1,0,Y1,Eligible,Rewards,Low,46,1,,,,,,,,,0,,,,,,,,1,6000.0,1,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.00375,0.66321461,0.05961408810223267,0.66321461,0.7919449209707871,0.0008399999999990001,851,0.00420561,0.014400000000000001,481.76185946996605,0.9377883106196371,,,,,,,,,,
F,26,Y3,2023 Q2,12.0,9.0,False,False,False,OTHER,2,0,Y3+,Eligible,Non-Rewards,Low,63,290,,,,,,,,,0,,,,,,,,80,172600.0,290,136200.32434669,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,7,Y1-S7,2024 Q2,2.0,2.0,True,False,False,APPROVED,1,500,Y1,Not Eligible,Non-Rewards,Low,68,3,,,,,,,,,0,,,,,,,,3,4800.0,3,2006.55912903,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
