RETRO_RISK_SERIES,STATEMENT_SEGMENT,NPV_STATEMENT_NUMBER_SEGMENT,COHORT,RETRO_RISK_GROUP,COMBINED_UTIL_GROUP,IS_IN_IN,IS_SWAP_IN,IS_4K_PLUS,REAL_OUTCOME,CREDIT_LIMIT_BUCKET,CLIP_AMOUNT_GROUP_ASSUMPTIONS,STATEMENT_SEGMENT_NEW,ELIGIBILITY_CATEGORY,REWARDS_TYPE,APR_TYPE,STATEMENTS_SINCE_CLIP,ORIGINAL_STATEMENTS,OPEN_STATEMENTS,CHARGED_OFF_STATEMENTS,CHARGEOFFS_PBAD,PRINCIPAL_BALANCE_OPEN_ACCOUNTS,PURCHASE_BALANCE_OPEN_ACCOUNTS,TOTAL_BALANCE_OPEN_ACCOUNTS,CREDIT_LIMIT_OPEN_ACCOUNTS,BKT2_ACCOUNTS,VOLUNTARY_CLOSURES,PRINCIPAL_BALANCE_CHARGEDOFF_ACCOUNTS,CREDIT_LIMIT_CHARGEDOFF_ACCOUNTS,CASH_ADVANCE_TAKERS,CASH_ADVANCE_AMOUNT,LATE_FEES,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS,AVERAGE_PURCHASE_BALANCE_OPEN_ACCOUNTS,OPEN_STATEMENTS_ASSUMPTIONS,CREDIT_LIMIT_OPEN_ACCOUNTS_ASSUMPTIONS,ORIGINAL_STATEMENTS_ASSUMPTIONS,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS_ASSUMPTIONS,PBAD,SEVERITY,UTILIZATION,CREDIT_LINE,CASH_ADVANCE_AGGREGATE,PENALTY_AGGREGATE,PVOL_AGGREGATE,ATTRITION_AGGREGATE,OUTSTANDING_AGGREGATE,REVOLVE_AGGREGATE,PBAD_PER_OPEN,UTILIZATION_PER_OPEN,FINAL_PURCHASE_VOLUME_PERCENTAGE,UTIL_OPEN_ASMPT,SEVERITY_ASMPT,CLOSE_OPEN_ASMPT,CREDIT_LINE_PER_OPEN,CASH_INCIDENCE_ASMPT,PENALTY_FEE_RATE_ASMPT,OUTSTANDINGS_PER_ORIGINAL_ASMPT,REVOLVE_RATE_ASMPT
F,7,Y1-S7,2022 Q4,15.0,7.0,False,False,False,APPROVED,1,100,Y1,Eligible,Non-Rewards,High,25,2084,2025.0,58.0,696.0,1058811.30,96422.47,1164102.36,1458800.00,63.0,16,32200.82,36450.00,9.0,891.73,238.0,1150636.13222587,1027702.12,2025,1458800.00,2084,1150636.13222587,0.343704,555.18655172,0.79798626,720.39506173,891.73,238.0,96422.47,16,1150636.13222587,0.08379927,0.03467806105,0.81850092,0.034221958661016946,0.81850092,0.9527911949094331,0.0011400000000000002,708,0.00638743,0.0819,267.7279188718918,0.9441795241852121
F,7,Y1-S7,2023 Q4,2.0,5.0,True,False,False,APPROVED,3,500,Y1,Eligible,Non-Rewards,Low,38,1,,,,,,,,,0,,,,,,,,1,3500.00,1,3426.95419355,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.005945489049,0.63873265,0.053753737133898305,0.64090521,0.8164760822565751,0.001019999999999,2950,0.00490132,0.0213,1570.8639524166688,0.9377883106196371
F,7,Y1-S7,2025 Q1,1.0,3.0,False,False,True,APPROVED,3,1500,Y1,Eligible,Non-Rewards,Low,19,8,,,,,,,,,0,,,,,,,,8,36000.00,8,17529.91878495,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.002268374644,0.4827119924,0.11153663801815393,0.48833073,0.718489761322178,0.0011400000000000002,3911,0.00407086,0.0129,1825.6156099755656,0.915940610942201
F,18,Y2,2020 H2,2.0,1.0,False,False,False,OTHER,3,0,Y2,Eligible,Non-Rewards,High,16,15,15.0,0.0,0.0,3765.05,1574.17,3828.69,37100.00,0.0,0,0.00,0.00,0.0,0.00,0.0,3334.98548384,2700.56,15,37100.00,15,3334.98548384,0.000000,0E-8,0.10319919,2473.33333333,0.00,0.0,1574.17,0,3334.98548384,0.47201705,0.002413230588,0.1695523,0.05392179960869565,0.1695523,0.7505000000000001,0.00197,2461,0.0046,0.015,399.6553417193112,0.8112073200000001
F,7,Y1-S7,2023 Q4,5.0,8.0,True,False,False,APPROVED,1,750,Y1,Eligible,Rewards,Low,52,1,,,,,,,,,0,,,,,,,,1,3750.00,1,3830.84666667,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.009657880933,0.79839978,0.050194125105476675,0.79839978,0.849585222682923,0.0008399999999990001,1479,0.0053725,0.031400000000000004,755.1510449713824,0.9461976067505481
F,11,Y1-S11,2023 Q2,4.0,1.0,False,False,False,APPROVED,1,500,Y1,Not Eligible,Non-Rewards,Low,87,1,,,,,,,,,0,,,,,,,,4,5250.00,1,1396.39261290,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,,,,,,,,,,,
F,7,Y1-S7,2021 H2,11.0,7.0,False,False,False,APPROVED,1,100,Y1,Eligible,Rewards,High,8,96,96.0,0.0,0.0,68803.45,5452.91,71577.88,93500.00,0.0,0,0.00,0.00,0.0,0.00,7.0,71293.60192439,66318.92,96,93500.00,96,71293.60192439,0.000000,0E-8,0.76553882,973.95833333,0.00,7.0,5452.91,0,71293.60192439,0.07648526,0.007750061575,0.84919608,0.07322012464864865,0.84919608,0.905232496056775,0.001344,740,0.007925080000000001,0.0468,611.4930757295488,0.9387832682059251
F,11,Y1-S11,2023 Q4,5.0,4.0,False,False,False,APPROVED,3,500,Y1,Eligible,Non-Rewards,Low,52,4,,,,,,,,,0,,,,,,,,18,66050.00,4,41680.58083869,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.01089896886,0.576166208,0.04661437619216605,0.5781016,0.849585222682923,0.0008399999999990001,2987,0.0053725,0.031400000000000004,1038.7226503747695,0.9329387415379221
F,7,Y1-S7,2023 Q3,2.0,4.0,False,False,False,APPROVED,3,100,Y1,Eligible,Non-Rewards,Low,77,4,,,,,,,,,0,,,,,,,,4,16300.00,4,11262.12633334,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,,,,,,,,,,,
F,18,Y2,2024 Q4,5.0,8.0,True,False,False,APPROVED,1,2000,Y2,Eligible,Rewards,Low,70,5,,,,,,,,,0,,,,,,,,6,16900.00,5,13982.31489248,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,,,,,,,,,,,
